Emoji,Unicode codepoint,Occurrences,Position,Negative,Neutral,Positive
🎂,0x1f382,201,0.747999917,16,44,141
🌟,0x1f31f,199,0.654510913,11,111,77
🔮,0x1f52e,199,0.333161733,6,133,60
❗,0x2757,198,0.620120854,31,116,51
👫,0x1f46b,197,0.664270589,43,60,94
🏆,0x1f3c6,194,0.705937446,6,39,149
✖,0x2716,193,0.514517152,8,116,69
☝,0x261d,191,0.7597726,27,77,87
😙,0x1f619,191,0.875675106,3,34,154
⛄,0x26c4,191,0.738724736,14,62,115
👅,0x1f445,190,0.738179133,23,55,112
♪,0x266a,190,0.696314423,15,57,118
🍂,0x1f342,189,0.634540658,6,72,111
💏,0x1f48f,185,0.72895246,33,46,106
🔪,0x1f52a,183,0.764046479,38,94,51
🌴,0x1f334,178,0.675890052,13,57,108
👈,0x1f448,174,0.701409121,14,71,89
🌹,0x1f339,172,0.664431116,3,61,108
🙆,0x1f646,171,0.839916616,15,54,102
➜,0x279c,170,0.558506642,8,126,36
👻,0x1f47b,168,0.740824428,28,73,67
💰,0x1f4b0,168,0.827466509,26,73,69
🍻,0x1f37b,165,0.745306588,17,45,103
🙅,0x1f645,165,0.838871886,76,47,42
🌞,0x1f31e,162,0.709366196,3,64,95
🍁,0x1f341,161,0.62398169,5,72,84
⭐,0x2b50,159,0.600764348,5,55,99
▪,0x25aa,159,0.145166872,15,97,47
🎀,0x1f380,156,0.651799025,6,44,106
━,0x2501,156,0.540249825,14,100,42
☷,0x2637,154,0.012407833,2,140,12
🐷,0x1f437,152,0.6026825,11,73,68
🙉,0x1f649,150,0.757694988,26,47,77
🌺,0x1f33a,150,0.629472896,2,62,86
💅,0x1f485,149,0.755747604,27,36,86
🐶,0x1f436,148,0.654155755,12,37,99
🌚,0x1f31a,148,0.759894657,23,32,93
👽,0x1f47d,146,0.612456875,13,73,60
🎤,0x1f3a4,144,0.67089174,17,40,87
👭,0x1f46d,144,0.667223526,20,36,88
🎧,0x1f3a7,142,0.842970526,18,46,78
👆,0x1f446,138,0.78746414,16,60,62
🍸,0x1f378,138,0.662604118,12,38,88
🍷,0x1f377,137,0.603671624,7,68,62
®,0xae,137,0.353084876,9,80,48
🍉,0x1f349,136,0.647778999,10,33,93
😇,0x1f607,135,0.781831331,9,36,90
☑,0x2611,135,0.690061863,2,117,16
🏃,0x1f3c3,135,0.735256148,12,55,68
😿,0x1f63f,134,0.811560707,78,29,27
│,0x2502,134,0.483180302,0,87,47
💣,0x1f4a3,131,0.846726927,40,50,41
🍺,0x1f37a,131,0.68156608,8,49,74
▶,0x25b6,131,0.498359177,7,89,35
😲,0x1f632,129,0.853619885,50,38,41
🎸,0x1f3b8,125,0.605443071,1,57,67
🍹,0x1f379,123,0.764164553,5,30,88
💫,0x1f4ab,121,0.614437663,4,51,66
📚,0x1f4da,119,0.69163189,22,34,63
😶,0x1f636,117,0.868667638,50,34,33
🌷,0x1f337,116,0.623397976,0,52,64
💝,0x1f49d,115,0.774410045,8,23,84
💨,0x1f4a8,115,0.711396809,12,46,57
🏈,0x1f3c8,114,0.823010837,7,38,69
💍,0x1f48d,112,0.807520998,16,25,71
☔,0x2614,111,0.687353164,21,36,54
👸,0x1f478,111,0.654472403,6,30,75
🇪,0x1f1ea,109,0.698877291,2,36,71
░,0x2591,108,0.439438477,25,63,20
🍩,0x1f369,107,0.708816106,15,35,57
👾,0x1f47e,105,0.55188131,1,64,40
☁,0x2601,104,0.595923185,14,43,47
🌻,0x1f33b,104,0.607167343,1,41,62
😵,0x1f635,103,0.808813841,33,28,42
📒,0x1f4d2,102,0.473944671,0,98,4
↿,0x21bf,102,0.710504202,0,34,68
🐯,0x1f42f,100,0.549561832,4,43,53
👼,0x1f47c,99,0.683210618,17,31,51
🍔,0x1f354,98,0.636878313,16,38,44
😸,0x1f638,97,0.782035657,11,34,52
👶,0x1f476,96,0.745048578,13,27,56
↾,0x21be,96,0.707142857,0,32,64
💐,0x1f490,95,0.727586517,3,17,75
🌊,0x1f30a,95,0.779832163,8,30,57
🍦,0x1f366,95,0.630275908,13,24,58
🍓,0x1f353,94,0.689469367,3,23,68
👇,0x1f447,94,0.557020638,13,44,37
💆,0x1f486,92,0.814023638,24,23,45
🍴,0x1f374,92,0.580197926,4,33,55
😧,0x1f627,92,0.774990088,36,26,30
🇸,0x1f1f8,91,0.654691493,8,27,56
😮,0x1f62e,90,0.774237435,16,33,41
▓,0x2593,90,0.658247473,2,85,3
🚫,0x1f6ab,88,0.702937729,48,32,8
😽,0x1f63d,88,0.754242708,11,14,63
🌈,0x1f308,88,0.671884074,5,31,52
🙀,0x1f640,88,0.790729154,14,30,44
⚠,0x26a0,88,0.489084942,16,62,10
🎮,0x1f3ae,86,0.467430446,8,32,46
╯,0x256f,84,0.506910946,19,47,18
🍆,0x1f346,84,0.7185031,6,37,41
🍰,0x1f370,84,0.78250627,13,19,52
✓,0x2713,84,0.627535601,9,41,34
👐,0x1f450,83,0.875981032,33,19,31
🙇,0x1f647,83,0.794293941,24,23,36
🍟,0x1f35f,83,0.650433666,14,29,40
🍌,0x1f34c,82,0.540634157,10,25,47
💑,0x1f491,82,0.682682631,5,16,61
👬,0x1f46c,82,0.622239773,29,29,24
🐣,0x1f423,81,0.775650511,12,17,52
🎃,0x1f383,81,0.723541282,6,19,56
▬,0x25ac,81,0.33474298,0,42,39
￼,0xfffc,81,0.308958013,44,33,4
😟,0x1f61f,80,0.824309355,28,18,34
🐾,0x1f43e,78,0.738983384,8,13,57
🎓,0x1f393,77,0.647134355,7,18,52
🏊,0x1f3ca,77,0.65309632,2,27,48
🍫,0x1f36b,76,0.792701023,22,20,34
📷,0x1f4f7,76,0.489732992,7,28,41
👄,0x1f444,75,0.591674278,5,28,42
🌼,0x1f33c,74,0.603679109,1,12,61
🚶,0x1f6b6,74,0.796900446,28,29,17
🐱,0x1f431,73,0.544447706,10,14,49
║,0x2551,73,0.568238107,0,62,11
🐸,0x1f438,72,0.845772164,24,30,18
🇺,0x1f1fa,71,0.682892538,8,15,48
👿,0x1f47f,70,0.910730779,47,15,8
🚬,0x1f6ac,70,0.805066327,8,16,46
✿,0x273f,70,0.49871007,2,38,30
📖,0x1f4d6,68,0.709941199,18,20,30
🐒,0x1f412,68,0.639847887,1,29,38
🌍,0x1f30d,68,0.623864265,5,16,47
┊,0x250a,68,0.681885417,0,0,68
🐥,0x1f425,67,0.779887133,4,18,45
🌀,0x1f300,66,0.553405789,10,39,17
🐼,0x1f43c,66,0.614422004,4,40,22
🎥,0x1f3a5,66,0.675875827,8,30,28
💄,0x1f484,66,0.636585295,6,24,36
💸,0x1f4b8,66,0.790337996,16,23,27
⛔,0x26d4,65,0.405987251,5,22,38
●,0x25cf,65,0.561224463,8,37,20
🏀,0x1f3c0,64,0.807196812,13,21,30
💉,0x1f489,64,0.749555976,11,18,35
💟,0x1f49f,63,0.787621444,3,12,48
🚗,0x1f697,62,0.638133891,8,31,23
😯,0x1f62f,62,0.859007902,16,22,24
📝,0x1f4dd,62,0.794711655,8,31,23
═,0x2550,62,0.441188106,0,61,1
♦,0x2666,61,0.562227083,6,20,35
💭,0x1f4ad,60,0.687954711,10,27,23
🌙,0x1f319,58,0.669389528,3,16,39
🐟,0x1f41f,58,0.676573608,2,12,44
👣,0x1f463,58,0.638779151,6,25,27
☞,0x261e,58,0.725402078,0,51,7
✂,0x2702,58,0.810271779,34,18,6
🗿,0x1f5ff,58,0.941936907,5,21,32
🍝,0x1f35d,57,0.56442207,16,18,23
👪,0x1f46a,57,0.653303852,24,10,23
🍭,0x1f36d,57,0.632538929,9,21,27
🌃,0x1f303,56,0.747623603,3,27,26
❌,0x274c,56,0.612998,14,12,30
🐰,0x1f430,55,0.707516692,4,13,38
💊,0x1f48a,55,0.675071279,8,14,33
🚨,0x1f6a8,55,0.520959173,6,6,43
😦,0x1f626,54,0.882218595,30,15,9
🍪,0x1f36a,54,0.736575166,10,16,28
🍣,0x1f363,53,0.669970061,24,18,11
╭,0x256d,53,0.490077251,3,38,12
✧,0x2727,53,0.398520727,1,33,19
🎆,0x1f386,52,0.798520237,2,9,41
╮,0x256e,52,0.422827361,5,35,12
🎎,0x1f38e,51,0.417134709,0,2,49
🇩,0x1f1e9,51,0.74501238,1,16,34
✅,0x2705,51,0.672789014,3,23,25
👹,0x1f479,49,0.70117277,13,20,16
📱,0x1f4f1,49,0.719713336,4,25,20
🙍,0x1f64d,49,0.844922892,29,8,12
🍑,0x1f351,49,0.739305631,12,12,25
🎼,0x1f3bc,49,0.636141803,2,28,19
🔊,0x1f50a,49,0.651738713,4,20,25
🌌,0x1f30c,47,0.750586217,5,11,31
🍎,0x1f34e,47,0.75089759,6,19,22
🐻,0x1f43b,47,0.691609267,6,13,28
─,0x2500,47,0.711348374,0,40,7
╰,0x2570,47,0.509745612,7,36,4
💇,0x1f487,46,0.678429189,7,16,23
♬,0x266c,46,0.677442137,4,26,16
♚,0x265a,46,0.389194579,0,44,2
🔴,0x1f534,45,0.655928061,1,24,20
🍱,0x1f371,45,0.58000953,25,10,10
🍊,0x1f34a,45,0.697299999,6,13,26
🍒,0x1f352,45,0.619434077,6,18,21
🐭,0x1f42d,45,0.822545804,0,12,33
👟,0x1f45f,45,0.561642541,5,15,25
🌎,0x1f30e,44,0.743438616,5,19,20
🍍,0x1f34d,44,0.583336287,7,8,29
🐮,0x1f42e,43,0.846658768,2,12,29
📲,0x1f4f2,43,0.598172133,7,18,18
☼,0x263c,43,0.461142875,2,30,11
🌅,0x1f305,42,0.603551051,6,14,22
🇷,0x1f1f7,42,0.716327847,1,10,31
👠,0x1f460,42,0.637243017,6,14,22
🌽,0x1f33d,42,0.648931091,5,12,25
💧,0x1f4a7,41,0.76764795,20,8,13
❓,0x2753,41,0.614920844,7,24,10
🍬,0x1f36c,41,0.784072191,8,9,24
😺,0x1f63a,40,0.825897808,8,7,25
🐴,0x1f434,40,0.795776393,8,21,11
🚀,0x1f680,40,0.698479931,2,15,23
¦,0xa6,40,0.402048475,7,1,32
💢,0x1f4a2,40,0.560644274,6,18,16
🎬,0x1f3ac,40,0.650028961,2,24,14
🍧,0x1f367,40,0.674847866,9,9,22
🍜,0x1f35c,40,0.577916931,9,5,26
🐏,0x1f40f,40,0.975591533,2,12,26
🐘,0x1f418,40,0.722256768,9,21,10
👧,0x1f467,40,0.649498717,10,14,16
⠀,0x2800,40,0.377950694,6,26,8
🏄,0x1f3c4,39,0.772893432,2,13,24
➤,0x27a4,39,0.382195298,0,26,13
⬆,0x2b06,39,0.605681579,1,25,13
🍋,0x1f34b,38,0.742802859,6,16,16
🆗,0x1f197,38,0.852316542,6,4,28
⚪,0x26aa,37,0.564780444,0,19,18
📺,0x1f4fa,37,0.61386867,3,16,18
🍅,0x1f345,37,0.838126825,9,5,23
⛅,0x26c5,37,0.61632427,4,11,22
🐢,0x1f422,37,0.621646684,6,17,14
👙,0x1f459,37,0.697202004,3,11,23
🏡,0x1f3e1,36,0.744478613,5,9,22
🌾,0x1f33e,36,0.558280959,5,5,26
◉,0x25c9,36,0.046697697,0,26,10
✏,0x270f,35,0.625100023,3,16,16
🐬,0x1f42c,35,0.74664334,2,15,18
🍤,0x1f364,35,0.513142123,6,21,8
🇹,0x1f1f9,35,0.584324615,0,13,22
♣,0x2663,35,0.666096972,4,14,17
🐝,0x1f41d,35,0.734687255,5,17,13
🌝,0x1f31d,34,0.718124589,5,17,12
🇮,0x1f1ee,34,0.575925963,0,12,22
🔋,0x1f50b,34,0.583005086,22,8,4
🐍,0x1f40d,34,0.622534826,3,15,16
♔,0x2654,34,0.588904318,0,14,20
🍳,0x1f373,33,0.798473001,13,6,14
🔵,0x1f535,33,0.680543536,4,14,15
😾,0x1f63e,33,0.914644696,20,5,8
🌕,0x1f315,33,0.641921506,3,7,23
🐨,0x1f428,33,0.696298274,4,9,20
🔐,0x1f510,33,0.845213961,6,9,18
💿,0x1f4bf,33,0.444466092,0,11,22
❁,0x2741,33,0.492535753,0,31,2
🌳,0x1f333,32,0.536180131,2,11,19
👰,0x1f470,32,0.787391801,3,9,20
❀,0x2740,32,0.443664362,0,18,14
⚓,0x2693,32,0.592872704,2,8,22
🚴,0x1f6b4,32,0.573441922,0,9,23
▀,0x2580,32,0.249971192,10,17,5
👗,0x1f457,31,0.703059819,5,13,13
➕,0x2795,31,0.034111266,4,5,22
💬,0x1f4ac,30,0.635322751,4,10,16
▒,0x2592,30,0.5006455,2,27,1
🔜,0x1f51c,30,0.606237062,5,11,14
🍨,0x1f368,30,0.656537195,8,7,15
💲,0x1f4b2,30,0.793676272,0,22,8
⛽,0x26fd,30,0.287349631,1,23,6
🍙,0x1f359,29,0.566487361,5,10,14
🍗,0x1f357,29,0.674706178,9,9,11
🍲,0x1f372,29,0.672925496,7,11,11
🍥,0x1f365,29,0.57963379,22,4,3
▸,0x25b8,29,0.516844972,0,22,7
♛,0x265b,29,0.48995855,4,15,10
😼,0x1f63c,28,0.855991066,5,7,16
🐙,0x1f419,28,0.677637628,2,12,14
👨,0x1f468,28,0.693754806,2,8,18
🍚,0x1f35a,28,0.636903275,6,2,20
🍖,0x1f356,28,0.678553575,7,10,11
♨,0x2668,28,0.664942237,0,1,27
🎹,0x1f3b9,28,0.466337612,0,17,11
♕,0x2655,28,0.621310417,0,16,12
▃,0x2583,28,0.373188406,0,0,28
🚘,0x1f698,27,0.649502793,8,9,10
🍏,0x1f34f,27,0.85243179,7,11,9
👩,0x1f469,27,0.731773327,9,7,11
👦,0x1f466,27,0.606457886,5,13,9
🇬,0x1f1ec,27,0.582061343,2,15,10
🇧,0x1f1e7,27,0.595070874,2,15,10
☠,0x2620,27,0.748862198,7,14,6
🐠,0x1f420,26,0.767680777,4,6,16
🚹,0x1f6b9,26,0.811646698,1,4,21
💵,0x1f4b5,26,0.806506343,3,9,14
✰,0x2730,26,0.19481227,0,3,23
╠,0x2560,26,0.542511882,0,20,6
👛,0x1f45b,25,0.696359786,4,7,14
🚙,0x1f699,25,0.653234313,5,14,6
🌱,0x1f331,25,0.561338235,0,9,16
💻,0x1f4bb,25,0.489415613,1,16,8
🌏,0x1f30f,25,0.681460526,3,10,12
▄,0x2584,25,0.464453824,8,11,6
👓,0x1f453,24,0.514451688,0,16,8
◄,0x25c4,24,0.671979253,0,18,6
⚾,0x26be,24,0.213609507,9,7,8
🌲,0x1f332,23,0.496443035,2,9,12
👴,0x1f474,23,0.783858479,5,7,11
🏠,0x1f3e0,23,0.641777733,1,8,14
🍇,0x1f347,23,0.583781365,5,6,12
🍘,0x1f358,23,0.620778046,5,3,15
🍛,0x1f35b,23,0.585489158,8,6,9
🐇,0x1f407,23,0.96735812,4,9,10
🔞,0x1f51e,23,0.814490975,6,12,5
👵,0x1f475,23,0.818006874,5,2,16
◀,0x25c0,23,0.221018064,0,16,7
🔙,0x1f519,23,0.143848565,2,14,7
🌵,0x1f335,23,0.670060172,6,6,11
🐽,0x1f43d,22,0.647826714,5,9,8
🍮,0x1f36e,22,0.701402915,10,5,7
🎇,0x1f387,22,0.820989335,1,3,18
🐎,0x1f40e,22,0.698088195,2,8,12
➔,0x2794,22,0.540918757,3,19,0
💶,0x1f4b6,22,0.748289907,3,16,3
🐤,0x1f424,22,0.838037285,1,7,14
╩,0x2569,22,0.811363636,0,17,5
🛀,0x1f6c0,21,0.904298381,6,6,9
🌑,0x1f311,21,0.603915537,2,6,13
🚲,0x1f6b2,21,0.582675365,1,10,10
🐑,0x1f411,21,0.921935783,6,13,2
🏁,0x1f3c1,21,0.618314821,0,9,12
🍞,0x1f35e,21,0.710838498,6,8,7
🎾,0x1f3be,21,0.820392839,2,4,15
╚,0x255a,21,0.714311764,0,14,7
🈹,0x1f239,21,0.349907717,1,12,8
🐳,0x1f433,20,0.65571861,4,9,7
👮,0x1f46e,20,0.742230559,10,8,2
☹,0x2639,20,0.776559964,14,4,2
🐵,0x1f435,20,0.63050797,1,7,12
✪,0x272a,20,0.287581918,0,13,7
◕,0x25d5,20,0.594134042,0,10,10
🗼,0x1f5fc,20,0.653788547,1,6,13
▐,0x2590,20,0.304138759,4,15,1
♠,0x2660,20,0.533120829,0,13,7
┳,0x2533,20,0.399288134,10,8,2
👺,0x1f47a,19,0.824824563,8,7,4
🐚,0x1f41a,19,0.526458845,1,12,6
👂,0x1f442,19,0.68212761,7,8,4
🗽,0x1f5fd,19,0.651087541,1,10,8
🍵,0x1f375,19,0.650326294,3,5,11
🆒,0x1f192,19,0.627794041,0,11,8
🍯,0x1f36f,19,0.779822828,7,4,8
🐺,0x1f43a,19,0.734916913,2,10,7
⇨,0x21e8,19,0.541146317,0,9,10
➨,0x27a8,19,0.558287039,2,12,5
🌓,0x1f313,19,0.458297394,0,6,13
🔒,0x1f512,19,0.939297049,5,5,9
╬,0x256c,19,0.32158749,6,10,3
👳,0x1f473,18,0.816081393,2,1,15
🌂,0x1f302,18,0.784983076,2,9,7
🚌,0x1f68c,18,0.635613322,2,10,6
♩,0x2669,18,0.791816647,0,7,11
🍡,0x1f361,18,0.699734257,5,9,4
❥,0x2765,18,0.440217022,0,13,5
🎡,0x1f3a1,18,0.506097489,1,10,7
💌,0x1f48c,17,0.805000544,2,3,12
🐩,0x1f429,17,0.87034228,0,10,7
🌜,0x1f31c,17,0.604117045,0,7,10
⌚,0x231a,17,0.64929786,2,9,6
🚿,0x1f6bf,17,0.669217138,1,3,13
🐖,0x1f416,17,0.814054951,0,14,3
🔆,0x1f506,17,0.604618098,0,6,11
🌛,0x1f31b,17,0.679966738,0,6,11
💂,0x1f482,17,0.691282654,8,4,5
🐔,0x1f414,17,0.627149273,1,9,7
🙎,0x1f64e,17,0.640742988,8,2,7
🏩,0x1f3e9,16,0.587431016,2,4,10
🇫,0x1f1eb,16,0.718033886,0,7,9
🔨,0x1f528,16,0.738603866,6,6,4
📢,0x1f4e2,16,0.545722402,0,8,8
🐦,0x1f426,16,0.75753571,0,8,8
🐲,0x1f432,16,0.457546329,2,13,1
♻,0x267b,16,0.438690753,0,7,9
🌘,0x1f318,16,0.577817017,0,5,11
🍐,0x1f350,16,0.84457574,5,3,8
🌔,0x1f314,16,0.447188207,0,5,11
╥,0x2565,16,0.8694829,6,2,8
❊,0x274a,16,0.45212766,0,16,0
👖,0x1f456,15,0.910194857,1,7,7
🚺,0x1f6ba,15,0.677226689,2,8,5
😗,0x1f617,15,0.714328477,1,2,12
🎭,0x1f3ad,15,0.657660049,5,5,5
🐄,0x1f404,15,0.825887991,2,6,7
◟,0x25df,15,0.646546064,2,12,1
🍢,0x1f362,15,0.684276452,5,7,3
🎨,0x1f3a8,15,0.490548154,1,10,4
⬇,0x2b07,15,0.631917187,2,4,9
🚼,0x1f6bc,15,0.692874634,0,5,10
⛲,0x26f2,15,0.697309585,1,12,2
▁,0x2581,15,0.711319751,0,15,0
🇴,0x1f1f4,15,0.676124081,0,9,6
🌗,0x1f317,15,0.54681955,0,4,11
🌖,0x1f316,15,0.534539354,0,4,11
🔅,0x1f505,15,0.634782609,0,0,15
👜,0x1f45c,14,0.675482619,2,6,6
🐌,0x1f40c,14,0.421349764,0,3,11
💼,0x1f4bc,14,0.573028381,1,3,10
🚕,0x1f695,14,0.526016674,3,8,3
🐹,0x1f439,14,0.743700839,3,3,8
🌠,0x1f320,14,0.761411531,2,1,11
🐈,0x1f408,14,0.645414223,0,9,5
⇧,0x21e7,14,0.461420203,0,12,2
☎,0x260e,14,0.836709012,2,10,2
🌁,0x1f301,14,0.744406749,1,9,4
⚫,0x26ab,14,0.440912997,3,4,7
♧,0x2667,14,0.775062446,0,6,8
🏰,0x1f3f0,14,0.434066804,1,7,6
🚵,0x1f6b5,14,0.5561554,0,8,6
🎢,0x1f3a2,14,0.825803746,1,4,9
🎷,0x1f3b7,14,0.759955203,0,3,11
🎐,0x1f390,14,0.290879701,0,11,3
┈,0x2508,14,0.792740417,12,0,2
╗,0x2557,14,0.361119833,0,8,6
╱,0x2571,14,0.547959184,0,14,0
🌇,0x1f307,13,0.54287435,0,5,8
⏰,0x23f0,13,0.645780266,2,2,9
⇩,0x21e9,13,0.503572636,0,13,0
🚂,0x1f682,13,0.656030729,0,9,4
◠,0x25e0,13,0.652555193,0,6,7
🎿,0x1f3bf,13,0.727391903,1,5,7
✦,0x2726,13,0.402369693,0,12,1
🆔,0x1f194,13,0.479124776,0,1,12
⛪,0x26ea,13,0.38723933,2,7,4
🌒,0x1f312,13,0.446222397,0,4,9
🐪,0x1f42a,13,0.836925018,0,4,9
╔,0x2554,13,0.309824364,0,9,4
╝,0x255d,13,0.800037569,0,6,7
👔,0x1f454,12,0.520012314,2,3,7
🔱,0x1f531,12,0.790792217,3,5,4
🆓,0x1f193,12,0.551459397,0,9,3
🐋,0x1f40b,12,0.865813424,2,5,5
▽,0x25bd,12,0.843553507,1,4,7
▂,0x2582,12,0.578512397,0,12,0
🐛,0x1f41b,12,0.672751951,2,4,6
👕,0x1f455,12,0.795097842,1,4,7
🚋,0x1f68b,12,0.317741493,0,11,1
💳,0x1f4b3,12,0.83392297,1,4,7
🌆,0x1f306,12,0.764797204,2,6,4
🏧,0x1f3e7,12,0.888240175,0,0,12
💡,0x1f4a1,12,0.597619454,0,3,9
🔹,0x1f539,12,0.170199929,2,6,4
⬅,0x2b05,12,0.662574787,0,5,7
🍠,0x1f360,12,0.938678015,5,2,5
🐫,0x1f42b,12,0.770082215,0,7,5
🏪,0x1f3ea,12,0.374437236,2,7,3
۩,0x6e9,12,0.464312944,0,12,0
🇱,0x1f1f1,12,0.71333692,0,6,6
📹,0x1f4f9,11,0.718346535,1,3,7
👞,0x1f45e,11,0.779457078,1,3,7
🚑,0x1f691,11,0.758087751,3,4,4
🆘,0x1f198,11,0.775131806,4,2,5
